gas,brake,steer_angle,speed_kmh,g_lat,g_lon,world_x,world_z,norm_pos,lap_time_ms,completed_laps,timestamp_ms
1.0,0.0,2.0610698584650206e-38,244.2911376953125,-0.011791476048529148,0.2540389895439148,224.2072296142578,324.7507019042969,0.002139967866241932,108,1,1779057358183
1.0,0.0,2.0610698584650206e-38,244.4214324951172,-0.021266650408506393,0.24893075227737427,223.0332794189453,325.0896911621094,0.0024247586261481047,126,1,1779057358200
1.0,0.0,2.0610698584650206e-38,244.5785369873047,-0.030427392572164536,0.2537471354007721,221.85855102539062,325.4287414550781,0.0027111803647130728,144,1,1779057358217
1.0,0.0,2.0610698584650206e-38,244.74058532714844,-0.024852488189935684,0.2625299394130707,221.074951171875,325.6548156738281,0.002901575993746519,156,1,1779057358234
1.0,0.0,2.0610698584650206e-38,244.88063049316406,-0.01838325336575508,0.2710861563682556,220.09494018554688,325.9375,0.0031398783903568983,171,1,1779057358251
1.0,0.0,2.0610698584650206e-38,245.05174255371094,-0.004350585397332907,0.27070173621177673,218.72195434570312,326.3333740234375,0.0034728499595075846,192,1,1779057358268
1.0,0.0,2.0610698584650206e-38,245.21945190429688,0.017698468640446663,0.26019158959388733,217.54421997070312,326.6729431152344,0.0037601899821311235,210,1,1779057358285
1.0,0.0,2.0610698584650206e-38,245.3558807373047,0.008742419071495533,0.25582048296928406,216.5621795654297,326.95611572265625,0.003997299820184708,225,1,1779057358302
1.0,0.0,2.0610698584650206e-38,245.52130126953125,0.0014033723855391145,0.260906457901001,215.38302612304688,327.2961730957031,0.004284287337213755,243,1,1779057358319
1.0,0.0,2.0610698584650206e-38,245.6923828125,-0.008480575866997242,0.26509833335876465,214.2030487060547,327.636474609375,0.0045710159465670586,261,1,1779057358336
1.0,0.0,2.0610698584650206e-38,245.83413696289062,-0.015575147233903408,0.25935447216033936,213.21910095214844,327.9202880859375,0.004810680169612169,276,1,1779057358353
1.0,0.0,2.0610698584650206e-38,246.00050354003906,-0.023497682064771652,0.2538803219795227,212.03761291503906,328.2610168457031,0.005097291897982359,294,1,1779057358370
1.0,0.0,2.0610698584650206e-38,246.16502380371094,-0.0225775595754385,0.2576138377189636,210.85533142089844,328.60198974609375,0.005384066142141819,312,1,1779057358387
1.0,0.0,2.0610698584650206e-38,246.331787109375,-0.02402256801724434,0.26147496700286865,209.67221069335938,328.943115234375,0.005670621525496244,330,1,1779057358404
1.0,0.0,2.0610698584650206e-38,246.47073364257812,-0.025829898193478584,0.2648250162601471,208.6856689453125,329.2275085449219,0.005911488551646471,345,1,1779057358421
1.0,0.0,2.0610698584650206e-38,246.6429443359375,-0.02820209041237831,0.27871575951576233,207.50103759765625,329.56890869140625,0.006197865586727858,363,1,1779057358438
1.0,0.0,2.0610698584650206e-38,246.81240844726562,-0.010174352675676346,0.2609505355358124,206.3155517578125,329.91046142578125,0.006485993042588234,381,1,1779057358455
1.0,0.0,2.0610698584650206e-38,246.94204711914062,-0.0010673684300854802,0.24010983109474182,205.32704162597656,330.1952209472656,0.006727701518684626,396,1,1779057358473
1.0,0.0,2.0610698584650206e-38,247.0911102294922,0.022562142461538315,0.2428707480430603,203.94229125976562,330.5940856933594,0.007063413504511118,417,1,1779057358490
1.0,0.0,2.0610698584650206e-38,247.22061157226562,0.02855645678937435,0.24977576732635498,203.15057373046875,330.8221435546875,0.007253700401633978,429,1,1779057358507
1.0,0.0,2.0610698584650206e-38,247.37802124023438,0.022009745240211487,0.2499188780784607,201.96237182617188,331.1644592285156,0.007544020656496286,447,1,1779057358524
1.0,0.0,2.0610698584650206e-38,247.5358428955078,0.011590752750635147,0.2509456276893616,200.7734375,331.50701904296875,0.007833053357899189,465,1,1779057358541
1.0,0.0,2.0610698584650206e-38,247.69667053222656,-0.00530095724388957,0.25297674536705017,199.58375549316406,331.8498229980469,0.008167970925569534,483,1,1779057358558
1.0,0.0,2.0610698584650206e-38,247.82774353027344,-0.02266186662018299,0.24394550919532776,198.5917510986328,332.1356201171875,0.008240912109613419,498,1,1779057358575
1.0,0.0,2.0610698584650206e-38,247.9821319580078,-0.03770852088928223,0.2449391931295395,197.40065002441406,332.47869873046875,0.008667854592204094,516,1,1779057358592
1.0,0.0,2.0610698584650206e-38,248.11451721191406,-0.03944164142012596,0.2516019940376282,196.40745544433594,332.7646789550781,0.008875861763954163,531,1,1779057358609
1.0,0.0,2.0610698584650206e-38,248.27760314941406,-0.03941192477941513,0.25879988074302673,195.01605224609375,333.1651611328125,0.009290514513850212,552,1,1779057358626
1.0,0.0,2.0610698584650206e-38,248.4435577392578,-0.03376629203557968,0.26184192299842834,193.82252502441406,333.5085754394531,0.009478798136115074,570,1,1779057358643
1.0,0.0,2.0610698584650206e-38,248.60755920410156,-0.027887510135769844,0.25587162375450134,192.628173828125,333.8520812988281,0.009810062125325203,588,1,1779057358660
1.0,0.0,2.0610698584650206e-38,248.7398223876953,-0.021597392857074738,0.24749208986759186,191.6322784423828,334.1384582519531,0.01005068700760603,603,1,1779057358677
1.0,0.0,2.0610698584650206e-38,248.89300537109375,-0.01734965667128563,0.2405601143836975,190.63584899902344,334.4249267578125,0.010293779894709587,618,1,1779057358694
1.0,0.0,2.0610698584650206e-38,249.04678344726562,-0.017540112137794495,0.24501417577266693,189.439453125,334.7688293457031,0.010583975352346897,636,1,1779057358711
1.0,0.0,2.0610698584650206e-38,249.1754150390625,-0.015984157100319862,0.24223867058753967,188.2423095703125,335.1128845214844,0.010874546132981777,654,1,1779057358728
1.0,0.0,2.0610698584650206e-38,249.32583618164062,-0.009517349302768707,0.23604270815849304,187.24412536621094,335.3996887207031,0.011116650886833668,669,1,1779057358745
1.0,0.0,2.0610698584650206e-38,249.4781951904297,-0.005738382693380117,0.24403564631938934,186.04562377929688,335.7440490722656,0.011407622136175632,687,1,1779057358762
1.0,0.0,2.0610698584650206e-38,249.60618591308594,0.001097718020901084,0.2416244000196457,184.8463897705078,336.08856201171875,0.011699307709932327,705,1,1779057358779
1.0,0.0,2.0610698584650206e-38,249.75645446777344,0.004993322771042585,0.23355872929096222,183.64642333984375,336.43328857421875,0.011989270336925983,723,1,1779057358796
1.0,0.0,2.0610698584650206e-38,249.90281677246094,0.0045184423215687275,0.2344556450843811,182.64593505859375,336.720703125,0.01223283726722002,738,1,1779057358813
1.0,0.0,2.0610698584650206e-38,250.02919006347656,0.0002764367964118719,0.24434058368206024,181.6449432373047,337.00823974609375,0.012475711293518543,753,1,1779057358830
1.0,0.0,2.0610698584650206e-38,250.1840057373047,-0.00492109265178442,0.24565254151821136,180.44308471679688,337.35345458984375,0.012767826206982136,771,1,1779057358847
1.0,0.0,2.0610698584650206e-38,250.3365478515625,-0.011674880981445312,0.2391195148229599,179.240478515625,337.6988220214844,0.013060646131634712,789,1,1779057358864
1.0,0.0,2.0610698584650206e-38,250.46133422851562,-0.016107121482491493,0.23697657883167267,178.0371551513672,338.0443420410156,0.013351730071008205,807,1,1779057358881
1.0,0.0,2.0610698584650206e-38,250.61195373535156,-0.018028629943728447,0.23912949860095978,176.83309936523438,338.3899841308594,0.013644225895404816,825,1,1779057358898
1.0,0.0,2.0610698584650206e-38,250.73777770996094,-0.02093910425901413,0.23763951659202576,176.0299835205078,338.6205139160156,0.013839351013302803,837,1,1779057358915
1.0,0.0,2.0610698584650206e-38,250.88726806640625,-0.02748739905655384,0.23413044214248657,174.62374877929688,339.0240478515625,0.01418038085103035,858,1,1779057358932
1.0,0.0,2.0610698584650206e-38,251.03636169433594,-0.023809507489204407,0.23376081883907318,173.41758728027344,339.3700866699219,0.014472897164523602,876,1,1779057358949
1.0,0.0,2.0610698584650206e-38,251.1841278076172,-0.019134163856506348,0.23189683258533478,172.6130828857422,339.6008605957031,0.014716901816427708,888,1,1779057358966
1.0,0.0,2.0610698584650206e-38,251.33155822753906,-0.009320384822785854,0.23148788511753082,171.40570068359375,339.9471740722656,0.014960920438170433,906,1,1779057358984
1.0,0.0,2.0610698584650206e-38,251.4556427001953,0.0018455864628776908,0.23748019337654114,169.99618530273438,340.3514404296875,0.01530340127646923,927,1,1779057359000
1.0,0.0,2.0610698584650206e-38,251.6042938232422,-0.0073077441193163395,0.2323295921087265,169.1903076171875,340.58258056640625,0.015498905442655087,939,1,1779057359017
1.0,0.0,2.0610698584650206e-38,251.7534637451172,-0.016473932191729546,0.2358969897031784,167.7792510986328,340.98724365234375,0.015841390937566757,960,1,1779057359035
1.0,0.0,-3.4597283047332894e-06,251.87771606445312,-0.019562747329473495,0.23381322622299194,166.56898498535156,341.3342590332031,0.016135361045598984,978,1,1779057359052
1.0,0.0,-6.913817196618766e-05,252.02359008789062,-0.018571220338344574,0.22871297597885132,165.76173400878906,341.565673828125,0.016331233084201813,990,1,1779057359069
1.0,0.0,-0.0008595107356086373,252.1446533203125,-0.017863987013697624,0.22866542637348175,164.55027770996094,341.9129333496094,0.016625218093395233,1008,1,1779057359086
1.0,0.0,-0.0089810099452734,252.28695678710938,0.028536519035696983,0.22231537103652954,163.33811950683594,342.26031494140625,0.016919558867812157,1026,1,1779057359103
1.0,0.0,-0.028240833431482315,252.42604064941406,0.24161149561405182,0.2179286628961563,162.3275146484375,342.5500793457031,0.0171643253415823,1041,1,1779057359120
1.0,0.0,-0.03598692640662193,252.54135131835938,0.4411451518535614,0.2179134339094162,161.1143798828125,342.898681640625,0.017459359019994736,1059,1,1779057359137
1.0,0.0,-0.037061989307403564,252.67507934570312,0.5624295473098755,0.20712460577487946,159.69876098632812,343.307373046875,0.017802942544221878,1080,1,1779057359154
1.0,0.0,-0.034005142748355865,252.80393981933594,0.6395314335823059,0.20574894547462463,158.48526000976562,343.6597595214844,0.018097974359989166,1098,1,1779057359171
1.0,0.0,-0.003573270980268717,252.93360900878906,0.4825690984725952,0.21209192276000977,157.47396850585938,343.9549560546875,0.018343772739171982,1113,1,1779057359188
1.0,0.0,-0.00026645336765795946,253.04779052734375,0.3457282781600952,0.22237233817577362,156.4625244140625,344.251220703125,0.018589572980999947,1128,1,1779057359205
1.0,0.0,-1.1821561201941222e-05,253.18824768066406,0.3938450217247009,0.2274627387523651,155.24847412109375,344.60784912109375,0.018885280936956406,1146,1,1779057359222
